Date,Open,High,Low,Close ,Adj Close ,Volume
2025-12-08,12.82,19.54,12.72,18.52,18.52,143901843
2025-12-05,7.66,7.71,7.39,7.49,7.49,2550600
2025-12-04,7.14,7.68,7.12,7.62,7.62,2519500
2025-12-03,7,7.24,6.93,7.14,7.14,2615800
2025-12-02,7.41,7.48,6.96,6.99,6.99,2302500
2025-12-01,7.6,7.67,7.35,7.41,7.41,1719600
2025-11-28,7.75,7.78,7.61,7.76,7.76,1489500
2025-11-26,7.45,7.72,7.41,7.67,7.67,1809000
2025-11-25,7.46,7.56,7.29,7.43,7.43,1485500
2025-11-24,7.1,7.56,7.09,7.46,7.46,2932700
2025-11-21,6.73,7.08,6.67,7.05,7.05,1855000
2025-11-20,6.97,7.27,6.6,6.76,6.76,2907800
2025-11-19,7.09,7.13,6.82,6.88,6.88,2157900
2025-11-18,7.14,7.21,6.77,7.11,7.11,2276800
2025-11-17,7.09,7.38,7.02,7.15,7.15,2053200
2025-11-14,6.54,7.13,6.51,7.08,7.08,2323900
